7037.189077793248 171.63875799495725 6.975609756097561 41  21131.4 240  299036 261
6336.144010412425 40.10217728109129 6.7025316455696204 158  100897 589  836266 655
222.14135526211544 6.34689586463187 8.142857142857142 35  16661 188  283345 202
1254.5979386999998 46.46659032222221 7.37037037037037 27  14868.8 172  364169 188
3469.64891021499 77.10330911588866 12.333333333333334 45  31545.4 165  240337 184
4567.3001201361085 47.57604291808446 7.072916666666667 96  64237.6 369  564392 400
-3104.1903289376946 -33.741199227583635 6.978260869565218 92  59738.8 368  718027 409
11927.00931665972 384.74223602128126 11.548387096774194 31  12297 168  181931 185
-1071.3355922916671 -21.00658024101308 5.980392156862745 51  33876.6 259  370736 286
11273.473137227935 289.0634137750753 14.102564102564102 39  19833.3 347  559552 393
1202.0244490514676 15.025305613143345 7.725 80  46891.1 314  526180 355
4740.992516976703 169.32116132059653 8.071428571428571 28  10897.1 186  282014 193
1844.5053830104553 73.78021532041821 11.72 25  16236.6 191  235821 198
24343.942798610085 256.2520294590535 8.136842105263158 95  39435.3 430  537127 482
8497.396147681293 119.68163588283511 5.76056338028169 71  38602.2 317  454194 349
2798.516215886719 73.64516357596628 6.473684210526316 38  22678.7 281  404906 302
39950.73188777919 132.28719168138804 7.417218543046357 302  145894 1273  1635977 1388
3896.746341389855 57.30509325573316 8.764705882352942 68  47721.4 260  338309 289
2856.7295566681914 30.390739964555227 7.0638297872340425 94  51263.2 436  624134 484
15093.493372889398 132.3990646744684 7.254385964912281 114  64037.6 469  706124 512
1627.0425814122066 19.369554540621507 8.44047619047619 84  53076.5 332  531443 361
26359.456880668164 45.13605630251398 3.3904109589041096 584  117907 3485  3581636 3730
-12090.644627238478 -120.90644627238478 17.49 100  89705.1 393  681462 446
1363.3145217082517 20.974069564742333 7.6461538461538465 65  31254.7 327  481238 355
2780.635643806267 47.94199385872874 7.758620689655173 58  36275.4 270  433187 298
4495.399962177599 49.94888846863999 9.166666666666666 90  65624.9 288  494457 318
1649.7130076813655 44.58683804544231 9.08108108108108 37  27428.7 175  302576 190
7263.797812852151 165.08631392845797 7.659090909090909 44  13727.1 275  333542 294
3578.293767722243 20.564906711047374 7.603448275862069 174  112565 569  723299 634
707.3350919992956 5.163029868607997 6.2773722627737225 137  76729.1 508  715026 582
3833.923106746118 89.16100248246785 9.534883720930232 43  30333.2 192  321813 211
4369.290072967956 114.98131770968305 10.763157894736842 38  19719.4 186  210275 194
-1608.9084565843636 -23.317513863541503 11.130434782608695 69  58672.8 434  632818 484
14051.006369316574 96.23976965285324 7.945205479452055 146  90743.6 568  801316 634
61619.35694640997 132.8003382465732 4.793103448275862 464  136052 2254  2752932 2438
8049.346624600512 129.8281713645244 8.03225806451613 62  36811.8 264  557761 294
121272.91924889159 299.4393067873866 6.5777777777777775 405  112568 1861  2504307 2017
176.29916574356696 3.5259833148713393 8.6 50  34368.8 211  384795 238
7962.845407171824 110.59507509960866 10.097222222222221 72  38104.3 349  473288 393
2035.3370110545434 22.868955180388127 13.157303370786517 89  57494.1 350  529699 377
14225.868523520698 146.65843838681133 8.639175257731958 97  63544.6 451  673886 498
64795.49620009082 198.7591907978246 6.782208588957055 326  113383 1441  1661900 1546
5074.9034290800155 53.42003609557911 11.284210526315789 95  40861.7 452  416441 506
2467.3418556806528 23.954775297870416 9.776699029126213 103  75354.7 368  443338 403
55615.45611853749 133.37039836579734 9.342925659472423 417  267450 1320  1685574 1475
8243.639140434563 132.96192161991232 7.306451612903226 62  36319.9 302  494845 330
6631.543509869922 103.61786734171753 6.203125 64  25682.5 344  329676 370
154606.91919781425 370.7599980762932 6.930455635491607 417  135019 1590  2084912 1746
1407.3499989835934 20.69632351446461 5.397058823529412 68  37150.7 305  536723 335
4385.180080237888 50.99046604927777 13.709302325581396 86  58427.3 369  573493 407
984.2735583911356 6.605862807994199 10.221476510067115 149  93729 486  1049368 562
-1367.0948209444948 -26.805780802833233 3.764705882352941 51  19485.6 360  420928 401
2397.535984741809 99.89733269757538 13.291666666666666 24  16953.1 193  381887 211
13218.754799438426 231.90797893751625 7.421052631578948 57  25310.2 294  487343 324
31285.127080172548 110.94016695096649 6.092198581560283 282  73861 1368  1405356 1487
-12741.73629183464 -131.35810610138805 9.288659793814434 97  81564.9 377  561344 417
-60.68882279481145 -0.2518208414722467 6.468879668049793 241  145898 783  1535964 879
